all,ave,var,pres,name
0.343423184,5.37E-03,5.25E-03,984,pos4-coflow-f1
0.295387731,4.62E-03,6.01E-03,985,pos4-coflow-f1
0.280614172,4.38E-03,5.80E-03,986,pos4-coflow-f1
0.329148692,5.14E-03,4.94E-03,987,pos4-coflow-f1
0.311397743,4.87E-03,4.69E-03,988,pos4-coflow-f1
0.303266939,4.74E-03,4.50E-03,989,pos4-coflow-f1
0.235964696,3.69E-03,4.85E-03,990,pos4-coflow-f1
0.411087,6.42E-03,6.97E-03,980,pos4-coflow-f6
0.396575422,6.20E-03,6.74E-03,981,pos4-coflow-f6
0.371919987,5.81E-03,5.72E-03,982,pos4-coflow-f6
0.371268462,5.80E-03,6.23E-03,983,pos4-coflow-f6
0.351636636,5.49E-03,5.28E-03,984,pos4-coflow-f6
0.290838977,4.54E-03,5.93E-03,985,pos4-coflow-f6
0.281083543,4.39E-03,5.91E-03,986,pos4-coflow-f6
0.278281176,4.35E-03,4.93E-03,987,pos4-coflow-f6
0.318617449,4.98E-03,5.15E-03,988,pos4-coflow-f6
0.300481485,4.70E-03,4.49E-03,989,pos4-coflow-f6
0.239312815,3.74E-03,4.73E-03,990,pos4-coflow-f6
0.399225017,6.24E-03,6.91E-03,980,pos4-counter-cont
0.395544145,6.18E-03,6.23E-03,981,pos4-counter-cont
0.384364623,6.01E-03,6.34E-03,982,pos4-counter-cont
0.372049608,5.81E-03,6.00E-03,983,pos4-counter-cont
0.358529722,5.60E-03,5.53E-03,984,pos4-counter-cont
0.292547382,4.57E-03,6.27E-03,985,pos4-counter-cont
0.280730713,4.39E-03,6.02E-03,986,pos4-counter-cont
0.293614418,4.59E-03,4.72E-03,987,pos4-counter-cont
0.312609944,4.88E-03,4.86E-03,988,pos4-counter-cont
0.300004699,4.69E-03,4.39E-03,989,pos4-counter-cont
0.234565672,3.67E-03,4.91E-03,990,pos4-counter-cont
0.39724842,6.21E-03,6.72E-03,980,pos4-counter-f1
0.397366793,6.21E-03,6.89E-03,981,pos4-counter-f1
0.373775807,5.84E-03,5.66E-03,982,pos4-counter-f1
0.364891101,5.70E-03,5.27E-03,983,pos4-counter-f1
0.352094666,5.50E-03,5.01E-03,984,pos4-counter-f1
0.294080917,4.60E-03,6.06E-03,985,pos4-counter-f1
0.281069741,4.39E-03,6.03E-03,986,pos4-counter-f1
0.324203317,5.07E-03,4.68E-03,987,pos4-counter-f1
0.312796124,4.89E-03,4.59E-03,988,pos4-counter-f1
0.300452508,4.69E-03,4.54E-03,989,pos4-counter-f1
0.234513435,3.66E-03,4.97E-03,990,pos4-counter-f1
0.409359817,6.40E-03,7.33E-03,980,pos4-counter-f6
0.389086553,6.08E-03,6.89E-03,981,pos4-counter-f6
0.376150644,5.88E-03,5.98E-03,982,pos4-counter-f6
0.37141741,5.80E-03,5.80E-03,983,pos4-counter-f6
0.343620873,5.37E-03,5.02E-03,984,pos4-counter-f6
0.295227105,4.61E-03,6.09E-03,985,pos4-counter-f6
0.281092258,4.39E-03,6.06E-03,986,pos4-counter-f6
0.289070876,4.52E-03,4.56E-03,987,pos4-counter-f6
0.302471213,4.73E-03,4.42E-03,988,pos4-counter-f6
0.307517365,4.80E-03,4.75E-03,989,pos4-counter-f6
0.234077932,3.66E-03,4.94E-03,990,pos4-counter-f6
0.298092621,4.66E-03,4.43E-03,980,pos5-counter-cont
0.392504196,6.13E-03,6.44E-03,981,pos5-counter-cont
0.361786688,5.65E-03,5.25E-03,982,pos5-counter-cont
0.36980453,5.78E-03,6.20E-03,983,pos5-counter-cont
0.313134689,4.89E-03,4.34E-03,984,pos5-counter-cont
0.292399894,4.57E-03,6.36E-03,985,pos5-counter-cont
0.280631052,4.38E-03,6.13E-03,986,pos5-counter-cont
0.315709089,4.93E-03,4.80E-03,987,pos5-counter-cont
0.312274455,4.88E-03,4.98E-03,988,pos5-counter-cont
0.300746989,4.70E-03,4.49E-03,989,pos5-counter-cont
0.235266599,3.68E-03,5.10E-03,990,pos5-counter-cont
0.394792058,6.17E-03,7.08E-03,980,pos5-counter-f1
0.39320138,6.14E-03,6.60E-03,981,pos5-counter-f1
0.371449582,5.80E-03,5.83E-03,982,pos5-counter-f1
0.3673247,5.74E-03,5.43E-03,983,pos5-counter-f1
0.348826651,5.45E-03,5.12E-03,984,pos5-counter-f1
0.292767161,4.57E-03,6.23E-03,985,pos5-counter-f1
0.282613798,4.42E-03,5.88E-03,986,pos5-counter-f1
0.327688856,5.12E-03,4.92E-03,987,pos5-counter-f1
0.314324074,4.91E-03,5.04E-03,988,pos5-counter-f1
0.304170698,4.75E-03,4.51E-03,989,pos5-counter-f1
0.234580644,3.67E-03,5.01E-03,990,pos5-counter-f1
0.395686953,6.18E-03,6.51E-03,980,pos5-counter-f6
0.380864473,5.95E-03,5.84E-03,981,pos5-counter-f6
0.378955663,5.92E-03,5.89E-03,982,pos5-counter-f6
0.369758126,5.78E-03,6.34E-03,983,pos5-counter-f6
0.361963536,5.66E-03,6.07E-03,984,pos5-counter-f6
0.292180908,4.57E-03,6.00E-03,985,pos5-counter-f6
0.281048475,4.39E-03,6.09E-03,986,pos5-counter-f6
0.329805956,5.15E-03,5.02E-03,987,pos5-counter-f6
0.3207843,5.01E-03,5.19E-03,988,pos5-counter-f6
0.295325183,4.61E-03,4.28E-03,989,pos5-counter-f6
0.234865212,3.67E-03,5.05E-03,990,pos5-counter-f6
0.407022362,6.36E-03,6.71E-03,980,pos2-coflow-cont
0.406189539,6.35E-03,6.69E-03,981,pos2-coflow-cont
0.377223134,5.89E-03,5.32E-03,982,pos2-coflow-cont
0.357188004,5.58E-03,4.92E-03,983,pos2-coflow-cont
0.352648695,5.51E-03,4.90E-03,984,pos2-coflow-cont
0.351361704,5.49E-03,4.90E-03,985,pos2-coflow-cont
0.347569542,5.43E-03,4.91E-03,986,pos2-coflow-cont
0.336109498,5.25E-03,4.41E-03,987,pos2-coflow-cont
0.319611913,4.99E-03,4.66E-03,988,pos2-coflow-cont
0.305414459,4.77E-03,4.30E-03,989,pos2-coflow-cont
0.24410481,3.81E-03,4.60E-03,990,pos2-coflow-cont
0.398908329,6.23E-03,6.33E-03,980,pos2-coflow-f1
0.393248475,6.14E-03,6.58E-03,981,pos2-coflow-f1
NaN,NaN,NaN,982,pos2-coflow-f1
0.372246742,5.82E-03,5.93E-03,983,pos2-coflow-f1
0.342783641,5.36E-03,5.06E-03,984,pos2-coflow-f1
0.287454667,4.49E-03,5.84E-03,985,pos2-coflow-f1
0.301072259,4.70E-03,5.10E-03,986,pos2-coflow-f1
0.331538313,5.18E-03,5.04E-03,987,pos2-coflow-f1
0.306174012,4.78E-03,4.59E-03,988,pos2-coflow-f1
